year;emirate;Time;age group;gender;counts
2017;Sharjah;;17 or less;Male;0
2017;Sharjah;;17 or less;Female;0
2017;Sharjah;;18 - 20;Male;36
2017;Sharjah;;18 - 20;Female;274
2017;Sharjah;;21 - 25;Male;633
2017;Sharjah;;21 - 25;Female;849
2017;Sharjah;;26 - 30;Female;439
2017;Sharjah;;26 - 30;Male;709
2017;Sharjah;;31 - 35;Female;225
2017;Sharjah;;31 - 35;Male;320
2017;Sharjah;;36 - 40;Female;120
2017;Sharjah;;36 - 40;Male;153
2017;Sharjah;;41 - 45;Female;38
2017;Sharjah;;41 - 45;Male;72
2017;Sharjah;;46 - 50;Female;26
2017;Sharjah;;46 - 50;Male;44
2017;Sharjah;;51 - 55;Female;6
2017;Sharjah;;51 - 55;Male;35
2017;Sharjah;;56 - 60;Female;1
2017;Sharjah;;56 - 60;Male;7
2017;Sharjah;;61 or more;Male;12
2017;Sharjah;;61 or more;Female;0
2017;Sharjah;;Unknown;Female;43
2017;Sharjah;;Unknown;Male;0
2017;Umm Al - Quwain;;17 or less;Male;0
2017;Umm Al - Quwain;;17 or less;Female;0
2017;Umm Al - Quwain;;18 - 20;Male;3
2017;Umm Al - Quwain;;18 - 20;Female;27
2017;Umm Al - Quwain;;21 - 25;Male;47
2017;Umm Al - Quwain;;21 - 25;Female;85
2017;Umm Al - Quwain;;26 - 30;Female;37
2017;Umm Al - Quwain;;26 - 30;Male;71
2017;Umm Al - Quwain;;31 - 35;Female;19
2017;Umm Al - Quwain;;31 - 35;Male;36
2017;Umm Al - Quwain;;36 - 40;Female;9
2017;Umm Al - Quwain;;36 - 40;Male;15
2017;Umm Al - Quwain;;41 - 45;Female;4
2017;Umm Al - Quwain;;41 - 45;Male;8
2017;Umm Al - Quwain;;46 - 50;Female;2
2017;Umm Al - Quwain;;46 - 50;Male;3
2017;Umm Al - Quwain;;61 or more;Male;1
2017;Umm Al - Quwain;;61 or more;Female;0
2017;Umm Al - Quwain;;Unknown;Female;1
2017;Umm Al - Quwain;;Unknown;Male;0
2017;Ajman;;17 or less;Male;0
2018;Ajman;;17 or less;Female;0
2018;Ajman;;18 - 20;Male;10
2018;Ajman;;18 - 20;Female;143
2018;Ajman;;21 - 25;Male;236
2018;Ajman;;21 - 25;Female;359
2018;Ajman;;26 - 30;Female;217
2018;Ajman;;26 - 30;Male;322
2018;Ajman;;31 - 35;Female;98
2018;Ajman;;31 - 35;Male;173
2018;Ajman;;36 - 40;Female;58
2018;Ajman;;36 - 40;Male;86
2018;Ajman;;41 - 45;Female;27
2018;Ajman;;41 - 45;Male;55
2018;Ajman;;46 - 50;Female;17
2018;Ajman;;46 - 50;Male;23
2018;Ajman;;51 - 55;Female;2
2018;Ajman;;51 - 55;Male;18
2018;Ajman;;56 - 60;Female;2
2018;Ajman;;56 - 60;Male;11
2018;Ajman;;61 or more;Male;8
2018;Ajman;;61 or more;Female;0
2018;Ajman;;Unknown;Female;19
2018;Ajman;;Unknown;Male;0
2018;Fujairah;;17 or less;Male;0
2018;Fujairah;;17 or less;Female;0
2018;Fujairah;;18 - 20;Male;24
2018;Fujairah;;18 - 20;Female;131
2018;Fujairah;;21 - 25;Female;292
2018;Fujairah;;21 - 25;Male;301
2018;Fujairah;;26 - 30;Female;119
2018;Fujairah;;26 - 30;Male;194
2018;Fujairah;;31 - 35;Female;63
2018;Fujairah;;31 - 35;Male;67
2018;Fujairah;;36 - 40;Female;21
2018;Fujairah;;36 - 40;Male;34
2018;Fujairah;;41 - 45;Male;9
2018;Fujairah;;41 - 45;Female;9
2018;Fujairah;;46 - 50;Female;3
2018;Fujairah;;46 - 50;Male;9
2018;Fujairah;;51 - 55;Female;1
2018;Fujairah;;51 - 55;Male;5
2018;Fujairah;;56 - 60;Male;5
2018;Fujairah;;56 - 60;Female;0
2018;Fujairah;;61 or more;Female;1
2018;Fujairah;;61 or more;Male;7
2018;Fujairah;;Unknown;Female;15
2018;Fujairah;;Unknown;Male;0
2018;Sharjah;;17 or less;Male;0
2018;Sharjah;;17 or less;Female;0
2018;Sharjah;;18 - 20;Male;43
2018;Sharjah;;18 - 20;Female;279
2018;Sharjah;;21 - 25;Male;616
2018;Sharjah;;21 - 25;Female;826
2018;Sharjah;;26 - 30;Female;462
2018;Sharjah;;26 - 30;Male;697
2018;Sharjah;;31 - 35;Female;187
2018;Sharjah;;31 - 35;Male;299
2018;Sharjah;;36 - 40;Female;98
2018;Sharjah;;36 - 40;Male;149
2018;Sharjah;;41 - 45;Female;63
2018;Sharjah;;41 - 45;Male;77
2018;Sharjah;;46 - 50;Female;18
2018;Sharjah;;46 - 50;Male;40
2018;Sharjah;;51 - 55;Female;9
2018;Sharjah;;51 - 55;Male;16
2018;Sharjah;;56 - 60;Female;2
2018;Sharjah;;56 - 60;Male;16
2018;Sharjah;;61 or more;Male;17
2018;Sharjah;;61 or more;Female;0
2018;Sharjah;;Unknown;Male;1
2018;Sharjah;;Unknown;Female;27
2018;Umm Al - Quwain;;17 or less;Male;0
2018;Umm Al - Quwain;;17 or less;Female;0
2018;Umm Al - Quwain;;18 - 20;Female;21
2018;Umm Al - Quwain;;18 - 20;Male;0
2018;Umm Al - Quwain;;21 - 25;Male;50
2018;Umm Al - Quwain;;21 - 25;Female;94
2018;Umm Al - Quwain;;26 - 30;Female;43
2018;Umm Al - Quwain;;26 - 30;Male;60
2018;Umm Al - Quwain;;31 - 35;Female;11
2018;Umm Al - Quwain;;31 - 35;Male;40
2018;Umm Al - Quwain;;36 - 40;Female;8
2018;Umm Al - Quwain;;36 - 40;Male;19
2018;Umm Al - Quwain;;41 - 45;Female;1
2018;Umm Al - Quwain;;41 - 45;Male;7
2018;Umm Al - Quwain;;46 - 50;Female;1
2018;Umm Al - Quwain;;46 - 50;Male;4
2018;Umm Al - Quwain;;51 - 55;Male;1
2018;Umm Al - Quwain;;51 - 55;Female;0
2018;Umm Al - Quwain;;56 - 60;Male;1
